instance,set,n_customers,seed,cost,optimal,gap,n_routes,k_reference,init_cost,init_gap,iterations,runtime,time_to_best,iter_to_best,time_limit,stop_reason
P-n50-k10,P,49,3,697,696.0,0.14367816091954022,10,10,714,2.586206896551724,26102,15.00018758297665,5.450886707985774,8295,15.0,time_limit
P-n50-k10,P,49,4,696,696.0,0.0,10,10,739,6.17816091954023,26367,15.00061479100259,8.636374166002497,14785,15.0,time_limit
P-n50-k10,P,49,5,697,696.0,0.14367816091954022,10,10,710,2.0114942528735633,26287,15.000156082969625,4.3954692499828525,6718,15.0,time_limit
P-n50-k7,P,49,1,554,554.0,0.0,7,7,591,6.67870036101083,21818,15.000932624971028,0.4225121669587679,414,15.0,time_limit
P-n50-k7,P,49,2,554,554.0,0.0,7,7,592,6.859205776173285,21599,15.000016874982975,0.27662124997004867,289,15.0,time_limit
P-n50-k7,P,49,3,554,554.0,0.0,7,7,574,3.6101083032490973,21302,15.000098458025604,1.2747234160196967,1450,15.0,time_limit
P-n50-k7,P,49,4,554,554.0,0.0,7,7,590,6.498194945848375,22312,15.000913041993044,0.8648054169607349,1115,15.0,time_limit
P-n50-k7,P,49,5,554,554.0,0.0,7,7,577,4.1516245487364625,22109,15.000012790958863,4.161045957996976,5506,15.0,time_limit
P-n50-k8,P,49,1,631,631.0,0.0,8,8,631,0.0,30000,12.170446917007212,0.0,0,15.0,stall_limit
P-n50-k8,P,49,2,631,631.0,0.0,8,8,631,0.0,30000,12.408339583023917,0.0,0,15.0,stall_limit
P-n50-k8,P,49,3,631,631.0,0.0,8,8,631,0.0,30000,12.237283458001912,0.0,0,15.0,stall_limit
P-n50-k8,P,49,4,631,631.0,0.0,8,8,631,0.0,30000,12.259268500027247,0.0,0,15.0,stall_limit
P-n50-k8,P,49,5,631,631.0,0.0,8,8,631,0.0,30000,12.228340000030585,0.0,0,15.0,stall_limit
P-n51-k10,P,50,1,741,741.0,0.0,10,10,805,8.63697705802969,26580,15.000003875000402,3.997314790962264,8079,15.0,time_limit
P-n51-k10,P,50,2,741,741.0,0.0,10,10,800,7.96221322537112,26019,15.00053520797519,3.0050447080284357,6104,15.0,time_limit
P-n51-k10,P,50,3,741,741.0,0.0,10,10,802,8.232118758434549,25713,15.000249375007115,1.9210007910151035,3913,15.0,time_limit
